sõnu uudises,esimene isik,negatiivsus,kordaja,positiivsus,väljaanne,link
357,12,11,6.44,7,Uued Uudised,https://uueduudised.ee/uudis/eesti/video-martin-helme-ei-tule-kone-alla-et-liberaalid-kirjutavad-meile-ette-millest-ja-kuidas-me-raakida-tohime/
127,4,0,3.15,2,Eesti Päevaleht,https://epl.delfi.ee/uudised/ulevaade-mida-uut-me-selle-nadalaga-estonia-hukkumise-kohta-teada-saime?id=91247327
126,0,4,3.17,1,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/soomes-teatati-tana-ligi-300-uuest-koroonaviirusega-nakatunust?id=91294247
518,7,16,4.44,18,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/kas-kreeka-ja-turgi-on-taas-teel-taiemahulisse-sotta?id=90745067
779,17,32,6.29,25,Uued Uudised,https://uueduudised.ee/arvamus/eestis-elava-turklase-jutt-rahuusust-ei-veena-vooraste-sisserannet-toetama/
71,0,2,2.82,1,Delfi,https://www.delfi.ee/news/paevauudised/eesti/video-tallinnas-tonismael-kihutas-liinibuss-punase-tulega-ule-tee?id=91043103
119,0,0,0.0,7,Delfi,https://www.delfi.ee/news/paevauudised/eesti/tanasel-bingo-loto-loosimisel-voideti-jackpot-ule-373-000-euro?id=89923587
187,0,0,0.0,7,Uued Uudised,https://uueduudised.ee/uudis/maailm/polissoomlaste-populaarsus-aina-kasvab-nii-voib-soome-peagi-saada-rahvusmeelse-voimupartei/
141,3,2,3.55,1,Telegram,https://www.telegram.ee/eesti/valitsus-kannab-estonian-airile-ule-kogu-kriisilaenu
373,1,11,3.22,10,Delfi,https://www.delfi.ee/news/paevauudised/eesti/merike-jurilo-koroonaviirusest-viimase-kahe-nadala-nakatumine-on-moodukas-tousutrendis?id=90089441
198,4,6,5.05,5,Ärileht,https://arileht.delfi.ee/news/uudised/alates-homsest-on-keelatud-lennata-eestist-korge-viirusriskiga-riikidesse-nagu-uhendkuningriiki-rootsi-ja-venemaale?id=89886535
235,2,3,2.13,5,Uued Uudised,https://uueduudised.ee/uudis/eesti/pole-ullatav-et-reformierakond-toetab-kaljulaidi-kes-on-olnud-varjamata-opositsiooni-kaepikendus-kadriorus/
312,1,11,3.85,4,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/usa-linna-elanikke-hoiatatakse-kraanivee-eest-selles-voib-peituda-surmav-aju-soov-amoob?id=91168693
84,0,1,1.19,2,Delfi,https://www.delfi.ee/news/paevauudised/eesti/fotod-rahvusooper-estonia-noukogu-peab-aivar-mae-jatkamise-osas-nou?id=90864919
334,2,7,2.69,16,Telegram,https://www.telegram.ee/eesti/53452
796,7,17,3.02,23,Uued Uudised,https://uueduudised.ee/arvamus/tunne-kelam-usa-valimiste-voltsimisest-on-olemas-faktid-ja-toendid/
928,18,35,5.71,22,Delfi,https://www.delfi.ee/news/paevauudised/eesti/kriisistaabi-meditsiinijuht-praegu-on-olukord-selline-et-istume-vaikselt-pussirohutunni-aares-ega-tea-kas-tuluke-haabub-voi-plahvatab?id=89689293
