sõnu uudises,esimene isik,negatiivsus,kordaja,positiivsus,väljaanne,link
213,0,7,3.29,1,Uued Uudised,https://uueduudised.ee/uudis/maailm/maailm-on-joudnud-uude-ohtlikku-pandeemia-faasi/
218,4,4,3.67,4,Telegram,https://www.telegram.ee/eesti/ligi-kas-firmaautode-eelnou-voi-ministeeriumide-vahenditest-osa-maha
38,0,0,0.0,0,Uued Uudised,https://uueduudised.ee/uudis/eesti/otse-kell-14-30-siseminister-mart-helme-ja-sisejulgeoleku-ametite-juhid-annavad-ulevaate-tegevustest-eriolukorras/
404,7,9,3.96,17,Uued Uudised,https://uueduudised.ee/uudis/maailm/hoorumine-liidu-sees-europarlament-ahvardas-el-i-eelarve-blokeerida/
749,5,3,1.07,19,Telegram,https://www.telegram.ee/maailm/bilderbergi-grupi-66-kohtumisest-votab-osa-ka-peaminister-juri-ratas
68,6,1,10.29,0,Telegram,https://www.telegram.ee/teadus-ja-tulevik/kas-satelliidid-on-olemas-telegram-kais-kuu-peal-osa-2-3
210,2,6,3.81,7,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/lukasenka-vihjas-voimult-lahkumisele?id=91807209
252,5,7,4.76,4,Telegram,https://www.telegram.ee/eesti/valmiv-eelnou-lubab-koolitunde-enne-kella-9-alustada-vaid-hoolekogu-loal
604,7,21,4.64,19,Uued Uudised,https://uueduudised.ee/uudis/eesti/president-otsis-kobareelnoust-kriitika-jaoks-valja-valismaalaste-seaduse/
286,3,0,1.05,6,Telegram,https://www.telegram.ee/eesti/ulevaatlik-galerii-mis-toimus-telegrami-konverentsil-2015
335,9,8,5.07,14,Telegram,https://www.telegram.ee/eesti/rahva-haalel-on-joud-siim-kallas-loobub-valitsuse-moodustamisest
588,2,12,2.38,20,Delfi,https://www.delfi.ee/news/paevauudised/eesti/uhe-ettevotte-vetelpaastjad-hoidsid-tanavu-ara-kaheksa-inimese-uppumise?id=90905811
922,5,28,3.58,52,Telegram,https://www.telegram.ee/maailm/investeerimispank-inimeste-ravimine-ei-ole-jatkusuutlik-arimudel
226,4,7,4.87,16,Uued Uudised,https://uueduudised.ee/arvamus/repliik/kuidas-maasikahirmu-ohutanud-sotsid-valetamisega-vahele-jaid/
176,0,1,0.57,5,Uued Uudised,https://uueduudised.ee/uudis/maailm/soome-eesistumine-el-is-ei-midagi-erilist-vasakvalitsuse-ambitsioonid-jaid-taitmata/
322,4,4,2.48,19,Telegram,https://www.telegram.ee/teadus-ja-tulevik/simpansitele-meeldib-lihtsalt-enda-lobuks-moistatusi-lahendada
1055,33,24,5.4,31,Uued Uudised,https://uueduudised.ee/uudis/eesti/indrek-saare-jutt-noorte-saastmisest-mart-helme-raiguse-eest-varjab-hirmu-et-nood-naevad-ja-kuulevad-tode/
482,4,15,3.94,20,Uued Uudised,https://uueduudised.ee/uudis/maailm/maailmas-toimuva-moistmiseks-kuidas-poliitikud-sojasonumi-oliivioksaga-varjavad/
630,20,25,7.14,15,Uued Uudised,https://uueduudised.ee/uudis/martin-helme-meil-on-valitsus-kes-harjunud-tegutsema-pingelises-taustsusteemis/
144,1,0,0.69,6,Uued Uudised,https://uueduudised.ee/uudis/maailm/pagulased-koormavad-euroopat-kupros-agab-nende-all/
112,3,2,4.46,2,Delfi,https://www.delfi.ee/news/paevauudised/eesti/kasmu-ja-osa-vosust-on-kapardliku-kaevetoo-parast-teist-paeva-elektrita?id=91493406
189,3,4,3.7,9,Uued Uudised,https://uueduudised.ee/uudis/eesti/riik-lukkas-tagasi-erameedia-palve-ajakirjanike-palgatoetuseks/
1800,44,41,4.72,58,Uued Uudised,https://uueduudised.ee/arvamus/valitsuse-1306-paeva-lisanduvaid-soovitusi-koalitsioonileppele/
272,5,6,4.04,3,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/nobeli-kirjanduspreemia-laureaadi-aleksijevitsi-korterisse-minskis-kogunesid-kaitseks-euroopa-diplomaadid?id=91000345
2854,36,75,3.89,88,Telegram,https://www.telegram.ee/eesti/oigusriik-eesti-andres-grafi-luhike-ja-piinarikas-elu
273,16,9,9.16,5,Delfi,https://www.delfi.ee/news/paevauudised/eesti/krooniline-koroona-haigus-on-justkui-labi-poetud-aga-tervis-ei-taha-kuidagi-taastuda?id=91855825
454,8,23,6.83,3,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/navalnoi-murgitamiskogemusest-valu-ei-olnud-aga-tundus-et-lopp-on-kaes?id=91279689
285,2,7,3.16,9,Delfi,https://www.delfi.ee/news/paevauudised/eesti/president-kaljulaidi-eestvedamisel-kogunevad-tana-maailma-naisliidrid-arutama-pandeemia-moju?id=89994607
432,7,3,2.31,34,Delfi,https://www.delfi.ee/news/paevauudised/eesti/eesti-kuulub-saastva-arengu-naitajate-poolest-maailma-tippu-kuid-parandamisruumi-jagub?id=90155623
39,0,0,0.0,0,Delfi,https://www.delfi.ee/news/paevauudised/eesti/kas-oli-onne-kontrolli-tanaseid-loto-voidunumbreid?id=90656705
98,0,5,5.1,3,Uued Uudised,https://uueduudised.ee/uudis/maailm/demokraatide-valitsetav-usa-maratseb-seattlei-marulis-sai-viga-kolm-politseinikku/
505,14,15,5.74,10,Uued Uudised,https://uueduudised.ee/majandus/asekantsler-viljar-lubi-kriisieelne-olukord-majanduses-ei-taastu/
588,19,17,6.12,28,Uued Uudised,https://uueduudised.ee/arvamus/repliik/kuidas-raakida-maailma-muredest-lillelapse-positsioonilt-berit-nuka-teab-ja-raagib/
307,4,8,3.91,6,Uued Uudised,https://uueduudised.ee/arvamus/juhtkiri/ajalehtede-tiraazid-langevad-kuid-toimetused-ei-taha-sisutuhjust-tunnistada/
298,6,18,8.05,9,Uued Uudised,https://uueduudised.ee/uudis/eesti/maskivastane-meeleavaldus-on-rumaluse-tipp-kedagi-ei-hakata-ka-sunniviisiliselt-vaktsineerima/
1353,39,20,4.36,40,Uued Uudised,https://uueduudised.ee/arvamus/jaak-valge-eesti-pikaajalise-strateegia-projekt-eesti-2035-kubiseb-euroburokraatiale-omastest-loosungitest/
925,7,27,3.68,41,Telegram,https://www.telegram.ee/arvamus/arvamus-tohuvapohu-eesti-meditsiinisusteemis
1172,18,21,3.33,46,Telegram,https://www.telegram.ee/eesti/valitsus-ega-riigiasutused-ei-ole-noorteorganisatsioonide-murele-viha-leviku-ule-vastanud
128,1,10,8.59,2,Uued Uudised,https://uueduudised.ee/uudis/eesti/purjuspai-politsei-eest-ohtlikult-pogenenud-valismaalasest-roolikeeraja-saadeti-riigist-valja/
661,19,8,4.08,11,Telegram,https://www.telegram.ee/maavaline/nasa-komeet-ison-vois-ellu-jaada
157,2,13,9.55,2,Uued Uudised,https://uueduudised.ee/arvamus/repliik/poliitikute-roppused-sotsiaalmeedias-on-muutunud-igapaevaseks-ja-tegu-pole-ekre-liikmetega/
303,3,8,3.63,16,Uued Uudised,https://uueduudised.ee/arvamus/repliik/kas-eestlased-tahavadki-orjarahvaks-jaada-indrek-saare-algatust-toetades-kindlasti/
220,8,5,5.91,3,Telegram,https://www.telegram.ee/eesti/prisma-mitmed-salaamivorstid-sisaldavad-hobuseliha
47,1,3,8.51,4,Eesti Päevaleht,https://epl.delfi.ee/valismaa/venemaa-on-end-viie-aastaga-suurias-osaliselt-loksu-manginud?id=91284595
238,4,8,5.04,8,Uued Uudised,https://uueduudised.ee/uudis/eesti/politoloog-praegu-on-ainsa-erakonnana-eestis-sidusa-ja-selge-tulevikunarratiivi-sonastanud-ekre/
81,0,5,6.17,1,Delfi,https://www.delfi.ee/news/paevauudised/krimi/harku-vallas-porkas-auto-kokku-podraga-juht-toimetati-haiglasse?id=90776651
35,0,1,2.86,2,Eesti Päevaleht,https://epl.delfi.ee/valismaa/kumme-aastat-riiat-valitsenud-venemeelne-koosmeel-sai-havitava-hoobi?id=90910243
248,6,0,2.42,6,Telegram,https://www.telegram.ee/eesti/linnavalitsus-otsustas-kalamajast-saab-leivasupi
422,2,4,1.42,21,Telegram,https://www.telegram.ee/eesti/mikser-kuni-ansip-on-peaminister-lastetoetused-ilmselt-ei-touse
463,3,8,2.38,4,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/prantsusmaa-laiendab-koroonaviiruse-tottu-oist-liikumiskeeldu-38-departemangule-ka-mujal-euroopas-on-seis-kole?id=91446082
816,0,15,1.84,11,Delfi,https://www.delfi.ee/news/paevauudised/eesti/graafikud-terviseamet-koroonaviiruse-tagajarjel-suri-veel-kolm-inimest-neist-noorim-oli-46-aastane-naine?id=91690817
876,24,18,4.79,18,Uued Uudised,https://uueduudised.ee/arvamus/eestlaste-talupojamoistus-on-tuhmumas-ja-vooras-motlemine-votab-voimust/
250,2,13,6.0,11,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/euroopa-varske-koroonaviiruse-puhang-naib-esialgu-vahem-surmavam-kui-esimene-laine-tanavu-kevadel?id=90810265
127,0,0,0.0,2,Uued Uudised,https://uueduudised.ee/uudis/eesti/uks-koroonapositiivne-tuli-ukrainast/
182,0,4,2.2,3,Delfi,https://www.delfi.ee/news/paevauudised/eesti/graafikud-terviseamet-oopaevaga-lisandus-uks-positiivne-koroonatest?id=90266043
555,2,9,1.98,19,Uued Uudised,https://uueduudised.ee/majandus/kahtlase-taustaga-rail-balticu-projekt-kolistab-endiselt-ule-kivide-ja-kandude/
106,1,13,13.21,3,Delfi,https://www.delfi.ee/news/paevauudised/eesti/vanglast-on-vabanenud-kuus-koroonaviiruse-kandjat-terviseamet-votab-valvekorra-ule?id=91658911
348,6,15,6.03,9,Uued Uudised,https://uueduudised.ee/uudis/maailm/poolas-ei-voidelda-mitte-lgbt-inimeste-vaid-nende-agressiivse-agenda-vastu/
168,7,6,7.74,7,Uued Uudised,https://uueduudised.ee/arvamus/repliik/postimehe-ajakirjanik-tegi-debuudi-ekre-kaitsjana-sest-vale-kasvas-ule-pea/
271,0,3,1.11,13,Delfi,https://www.delfi.ee/news/paevauudised/usavalimised2020/cnn-i-valijate-kusitluse-jargi-pidas-53-presidendivalimiste-debati-voitjaks-joe-bidenit?id=91445478
745,21,21,5.64,21,Uued Uudised,https://uueduudised.ee/uudis/mart-jarvik-avas-madapaise-ja-nuud-on-kogu-ilm-saasta-tais/
724,13,13,3.59,14,Telegram,https://www.telegram.ee/eesti/rail-balticust-praegusel-kujul-loobuma-kutsuv-petitsioon-on-kogunud-ule-1000-allkirja
285,6,10,5.61,9,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/trump-naomaskide-kandmist-ma-uleriigiliselt-kohustuslikuks-ei-tee?id=90486843
115,3,3,5.22,0,Eesti Päevaleht,https://epl.delfi.ee/uudised/kolvart-laseb-linnavalitsuse-ohust-tuhjaks?id=90205011
359,4,10,3.9,7,Telegram,https://www.telegram.ee/teadus-ja-tulevik/pcr-testi-leiutaja-kary-mullis-positiivne-test-ei-tahenda-et-inimene-on-haige-voi-nakatunud
178,0,6,3.37,6,Telegram,https://www.telegram.ee/maailm/venemaa-taunis-uruguay-otsust-kanep-legaliseerida
243,4,0,1.65,7,Telegram,https://www.telegram.ee/eesti/president-ilves-nimetas-ametisse-uue-valitsuse
146,0,3,2.05,2,Ärileht,https://arileht.delfi.ee/news/uudised/valgevene-tuumajaam-hakkas-parast-seadmete-purunemist-taas-toole?id=91716009
384,2,13,3.91,7,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/macron-tootas-moslemikogukonna-ohtudega-tegeleda-raakides-kriisis-islamist?id=91247059
165,2,2,2.42,10,Uued Uudised,https://uueduudised.ee/arvamus/repliik/ekre-toetust-tostab-erakonna-eesmark-viia-viik-seisakust-valja/
215,3,4,3.26,8,Delfi,https://www.delfi.ee/news/paevauudised/eesti/tormi-tottu-pole-elektrit-veel-10-000-majapidamisel?id=90425779
365,1,27,7.67,2,Delfi,https://www.delfi.ee/news/paevauudised/krimi/tapmiste-ja-morvade-arv-on-sel-aastal-oluliselt-kasvanud?id=90153415
75,0,0,0.0,4,Uued Uudised,https://uueduudised.ee/uudis/ekre-ettepanekul-eraldati-pollumajandusele-veel-viis-miljonit/
145,0,0,0.0,2,Uued Uudised,https://uueduudised.ee/uudis/eesti/videomeenutus-2019-aasta-torvikurongkaik-jattis-osalejatele-voimsa-elamuse/
81,0,1,1.23,2,Telegram,https://www.telegram.ee/maailm/sularahavaba-uhiskonna-suunas-india-kuulutas-500-ja-1000-sed-rahatahed-kehtetuks
1511,24,45,4.57,62,Uued Uudised,https://uueduudised.ee/uudis/eesti/eesti-perearstide-seltsi-nouanded-eakatele-ja-nende-lahedastele-eriolukorras-tegutsemiseks/
923,15,14,3.14,27,Uued Uudised,https://uueduudised.ee/uudis/maailm/karel-kivilile-aafrika-pole-midagi-ara-teinud-aafrikas-ta-toob-ka-euroopasse-vaid-aafrika/
148,0,5,3.38,1,Telegram,https://www.telegram.ee/maailm/madridis-laks-peaministrivastasel-meeleavalduse-kahmluseks
437,7,16,5.26,9,Telegram,https://www.telegram.ee/arvamus/barack-obama-hunt-lambanahas
415,8,15,5.54,6,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/nyt-trump-on-arutanud-ennetavat-armuandmist-oma-kolmele-lapsele-kushnerile-ja-giulianile?id=91846162
130,3,4,5.38,3,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/rahvasaadik-ja-15-aastane-taanit-rasib-enneolematu-ahistamisskandaalide-jada?id=91455044
315,7,4,3.49,11,Delfi,https://www.delfi.ee/news/paevauudised/eesti/terviseameti-uueks-juhiks-saab-ullar-lanno?id=91126907
159,0,5,3.14,0,Delfi,https://www.delfi.ee/news/paevauudised/krimi/5-aastane-poiss-sattus-pohja-tallinnas-toukerattalt-kukkudes-haiglasse?id=91658853
348,10,6,4.6,11,Delfi,https://www.delfi.ee/news/paevauudised/eesti/eesti-soome-ja-rootsi-valisministrite-avaldus-dokfilmi-info-kontrollimine-toimub-kooskolas-estonia-hauarahu-leppega?id=91174253
